istituto,tasso_affollamento,posti_regolamentari,posti_non_disponibili,posti_disponibili,totale_detenuti,dati_aggiornati_al,polizia_penitenziaria_previsti,polizia_penitenziaria_effettivi,personale_polizia_penitenziaria_aggiornato_al,amministrativi_effettivi,amministrativi_previsti,personale_amministrativo_aggiornato_al,numero_complessivo_stanze,numero_non_disponibili_stanze,doccia,bidet,portatori_handicap,servizi_igienici_con_porta,accensione_luce_autonoma,prese_elettriche,data_aggiornamento_spazi_detentivi,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers,suicidi_2002,suicidi_2003,suicidi_2004,suicidi_2005,suicidi_2006,suicidi_2007,suicidi_2008,suicidi_2009,suicidi_2010,suicidi_2011,suicidi_2012,suicidi_2013,suicidi_2014,suicidi_2015,suicidi_2016,suicidi_2017,suicidi_2018,suicidi_2019,suicidi_2020,suicidi_2021,suicidi_2022,suicidi_2023,suicidi_2024,suicidi_totali,personale_previsti,personale_effettivi,personale_mancante_perc
Volterra,94.14893617021278,189,1,188,177,2025-04-08,82,68,2025-02-28,16,19,2025-02-28,176.0,1.0,0.0,1.0,0.0,157.0,0.0,0.0,2025-04-08,175.0,1.0114285714285713,0.384180790960452,inf,177.0,1.13,inf,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,84,16.831683168316832
Pistoia,85.33333333333334,76,1,75,64,2025-04-08,65,55,2025-02-28,11,14,2025-02-28,48.0,1.0,0.0,0.0,0.0,37.0,47.0,18.0,2025-04-08,47.0,1.3617021276595744,0.859375,inf,inf,1.73,1.3617021276595744,0.28125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79,66,16.455696202531644
Pordenone,151.35135135135135,37,0,37,56,2025-04-08,53,45,2025-02-28,10,13,2025-02-28,14.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,2025-04-08,14.0,4.0,0.8035714285714286,14.0,inf,4.0,inf,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,66,55,16.666666666666664
Porto Azzurro,99.06542056074767,334,13,321,318,2025-04-08,205,161,2025-02-28,20,26,2025-02-28,306.0,10.0,118.0,13.0,0.0,285.0,306.0,306.0,2025-04-08,296.0,1.0743243243243243,0.5062893081761006,2.694915254237288,24.46153846153846,1.12,1.0392156862745099,0.9622641509433962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,231,181,21.645021645021643
Potenza,157.37704918032787,105,44,61,96,2025-04-08,111,114,2025-02-28,16,17,2025-02-28,76.0,17.0,75.0,9.0,0.0,76.0,76.0,76.0,2025-04-08,59.0,1.6271186440677967,1.1875,1.28,10.666666666666666,1.26,1.263157894736842,0.7916666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,128,130,-1.5625
Pozzuoli,0.0,98,98,0,0,2025-04-08,119,1,2025-02-28,6,21,2025-02-28,29.0,29.0,29.0,29.0,0.0,29.0,9.0,29.0,2025-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,140,7,95.0
Prato,109.16808149405772,589,0,589,643,2025-04-08,270,256,2025-02-28,28,35,2025-02-28,299.0,0.0,25.0,249.0,0.0,299.0,0.0,23.0,2025-04-08,299.0,2.150501672240803,0.39813374805598756,25.72,2.5823293172690764,2.15,inf,0.03576982892690513,0,0,0,1,0,2,2,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,4,16,305,284,6.885245901639345
Ragusa,108.19672131147541,196,13,183,198,2025-04-08,84,87,2025-02-28,19,18,2025-02-28,66.0,9.0,54.0,3.0,2.0,56.0,66.0,66.0,2025-04-08,57.0,3.473684210526316,0.4393939393939394,3.6666666666666665,66.0,3.54,3.0,0.3333333333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,102,106,-3.9215686274509802
Ravenna,144.89795918367346,49,0,49,71,2025-04-08,74,69,2025-02-28,15,14,2025-02-28,49.0,0.0,0.0,0.0,0.0,49.0,49.0,49.0,2025-04-08,49.0,1.4489795918367347,0.971830985915493,inf,inf,1.45,1.4489795918367347,0.6901408450704225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,6,88,84,4.545454545454546
Reggio Calabria Arghillà,129.8932384341637,294,13,281,365,2025-04-08,164,145,2025-02-28,11,32,2025-02-28,85.0,9.0,85.0,0.0,3.0,85.0,85.0,85.0,2025-04-08,76.0,4.802631578947368,0.3972602739726027,4.294117647058823,inf,4.29,4.294117647058823,0.2328767123287671,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,8,196,156,20.408163265306122
Reggio Calabria Giuseppe Panzera,126.875,180,20,160,203,2025-04-08,145,151,2025-02-28,26,0,2025-02-28,85.0,7.0,81.0,14.0,1.0,85.0,85.0,80.0,2025-04-08,78.0,2.6025641025641026,0.7438423645320197,2.506172839506173,14.5,2.39,2.388235294117647,0.39408866995073893,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,8,145,177,-22.06896551724138
Rimini,128.81355932203388,118,0,118,152,2025-04-08,127,116,2025-02-28,14,17,2025-02-28,53.0,0.0,33.0,36.0,0.0,53.0,41.0,53.0,2025-04-08,53.0,2.8679245283018866,0.7631578947368421,4.606060606060606,4.222222222222222,2.87,3.707317073170732,0.34868421052631576,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,144,130,9.722222222222223
Roma Rebibbia femminile,142.04545454545453,272,8,264,375,2025-04-08,214,197,2025-02-28,19,26,2025-02-28,171.0,8.0,94.0,87.0,8.0,132.0,171.0,169.0,2025-04-08,163.0,2.3006134969325154,0.5253333333333333,3.9893617021276597,4.310344827586207,2.84,2.192982456140351,0.45066666666666666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,240,216,10.0
Roma Rebibbia IIIª casa,60.60606060606061,172,40,132,80,2025-04-08,46,34,2025-02-28,17,15,2025-02-28,43.0,10.0,43.0,0.0,0.0,43.0,43.0,43.0,2025-04-08,33.0,2.4242424242424243,0.425,1.8604651162790697,inf,1.86,1.8604651162790697,0.5375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,61,51,16.39344262295082
Roma Rebibbia Nuovo Complesso,147.01986754966887,1170,113,1057,1554,2025-04-08,782,663,2025-02-28,66,58,2025-02-28,624.0,65.0,108.0,1.0,10.0,375.0,621.0,571.0,2025-04-08,559.0,2.7799642218246867,0.4266409266409266,14.38888888888889,1554.0,4.14,2.502415458937198,0.36743886743886744,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,840,729,13.214285714285715
Roma Rebibbia,93.24324324324324,445,149,296,276,2025-04-08,189,137,2025-02-28,23,29,2025-02-28,381.0,110.0,61.0,58.0,0.0,60.0,381.0,381.0,2025-04-08,271.0,1.018450184501845,0.4963768115942029,4.524590163934426,4.758620689655173,4.6,0.7244094488188977,1.3804347826086956,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,218,160,26.605504587155966
