istituto,tasso_affollamento,posti_regolamentari,posti_non_disponibili,posti_disponibili,totale_detenuti,dati_aggiornati_al,polizia_penitenziaria_previsti,polizia_penitenziaria_effettivi,personale_polizia_penitenziaria_aggiornato_al,amministrativi_effettivi,amministrativi_previsti,personale_amministrativo_aggiornato_al,numero_complessivo_stanze,numero_non_disponibili_stanze,doccia,bidet,portatori_handicap,servizi_igienici_con_porta,accensione_luce_autonoma,prese_elettriche,data_aggiornamento_spazi_detentivi,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers,suicidi_2002,suicidi_2003,suicidi_2004,suicidi_2005,suicidi_2006,suicidi_2007,suicidi_2008,suicidi_2009,suicidi_2010,suicidi_2011,suicidi_2012,suicidi_2013,suicidi_2014,suicidi_2015,suicidi_2016,suicidi_2017,suicidi_2018,suicidi_2019,suicidi_2020,suicidi_2021,suicidi_2022,suicidi_2023,suicidi_2024,suicidi_totali,personale_previsti,personale_effettivi,personale_mancante_perc
Trapani,118.51106639839035,555,58,497,589,2025-04-08,266,275,2025-02-28,25,27,2025-02-28,233.0,32.0,159.0,71.0,10.0,205.0,165.0,187.0,2025-04-08,201.0,2.9303482587064678,0.466893039049236,3.7044025157232703,8.295774647887324,2.87,3.56969696969697,0.3174872665534805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,293,300,-2.3890784982935154
Trento,84.59715639810426,422,0,422,357,2025-04-07,199,176,2025-02-28,22,27,2025-02-28,170.0,0.0,170.0,170.0,13.0,170.0,170.0,163.0,2025-04-07,170.0,2.1,0.49299719887955185,2.1,2.1,2.1,2.1,0.4565826330532213,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,1,0,8,226,198,12.389380530973451
Treviso,183.33333333333331,132,0,132,242,2025-04-08,149,142,2025-02-28,13,17,2025-02-28,62.0,0.0,9.0,5.0,0.0,61.0,8.0,6.0,2025-04-08,62.0,3.903225806451613,0.5867768595041323,26.88888888888889,48.4,3.97,30.25,0.024793388429752067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,166,155,6.626506024096386
Trieste,182.44274809160305,150,19,131,239,2025-04-08,149,128,2025-02-28,18,20,2025-02-28,64.0,17.0,5.0,39.0,0.0,48.0,7.0,64.0,2025-04-08,47.0,5.085106382978723,0.5355648535564853,47.8,6.128205128205129,4.98,34.142857142857146,0.26778242677824265,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,6,169,146,13.609467455621301
Udine,188.42105263157896,95,0,95,179,2025-04-08,112,92,2025-02-28,14,17,2025-02-28,62.0,0.0,60.0,60.0,1.0,62.0,62.0,60.0,2025-04-08,62.0,2.8870967741935485,0.5139664804469274,2.9833333333333334,2.9833333333333334,2.89,2.8870967741935485,0.33519553072625696,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0,6,129,106,17.829457364341085
Bari,167.30769230769232,294,34,260,435,2025-04-08,258,255,2025-02-28,23,26,2025-02-28,165.0,22.0,142.0,76.0,17.0,143.0,163.0,164.0,2025-04-08,143.0,3.041958041958042,0.5862068965517241,3.063380281690141,5.723684210526316,3.04,2.668711656441718,0.37701149425287356,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,2,1,0,1,9,284,278,2.112676056338028
Turi,155.55555555555557,108,0,108,168,2025-04-08,90,82,2025-02-28,16,14,2025-02-28,42.0,0.0,3.0,1.0,1.0,42.0,42.0,42.0,2025-04-08,42.0,4.0,0.4880952380952381,56.0,168.0,4.0,4.0,0.25,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,4,2,13,104,98,5.769230769230769
Vallo della Lucania,135.0,40,0,40,54,2025-04-08,21,33,2025-02-28,6,13,2025-02-28,10.0,0.0,9.0,9.0,0.0,10.0,10.0,10.0,2025-04-08,10.0,5.4,0.6111111111111112,6.0,6.0,5.4,5.4,0.18518518518518517,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,8,34,39,-14.705882352941178
Varese,198.11320754716982,53,0,53,105,2025-04-08,59,65,2025-02-28,6,13,2025-02-28,47.0,0.0,15.0,0.0,0.0,47.0,47.0,1.0,2025-04-08,47.0,2.234042553191489,0.6190476190476191,7.0,inf,2.23,2.234042553191489,0.009523809523809525,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,72,71,1.3888888888888888
Vasto,66.66666666666666,197,50,147,98,2025-04-08,95,68,2025-02-28,15,19,2025-02-28,98.0,28.0,15.0,85.0,1.0,98.0,98.0,93.0,2025-04-08,70.0,1.4,0.6938775510204082,6.533333333333333,1.1529411764705881,1.0,1.0,0.9489795918367347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,114,83,27.192982456140353
Velletri,154.0059347181009,412,75,337,519,2025-04-08,275,219,2025-02-28,28,32,2025-02-28,276.0,43.0,76.0,265.0,5.0,276.0,206.0,69.0,2025-04-08,233.0,2.227467811158798,0.42196531791907516,6.828947368421052,1.9584905660377359,1.88,2.5194174757281553,0.1329479768786127,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,2,1,0,0,0,0,0,0,8,307,247,19.54397394136808
Venezia Giudecca,90.17857142857143,112,0,112,101,2025-04-08,135,102,2025-02-28,13,20,2025-02-28,28.0,0.0,16.0,28.0,0.0,28.0,9.0,14.0,2025-04-08,28.0,3.607142857142857,1.00990099009901,6.3125,3.607142857142857,3.61,11.222222222222221,0.13861386138613863,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,8,155,115,25.806451612903224
Venezia Santa Maria Maggiore,170.44025157232704,159,0,159,271,2025-04-08,149,154,2025-02-28,16,18,2025-02-28,86.0,0.0,86.0,86.0,0.0,86.0,86.0,86.0,2025-04-08,86.0,3.1511627906976742,0.5682656826568265,3.1511627906976742,3.1511627906976742,3.15,3.1511627906976742,0.3173431734317343,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,8,167,170,-1.7964071856287425
Verbania,139.62264150943395,53,0,53,74,2025-04-08,44,43,2025-02-28,6,13,2025-02-28,37.0,0.0,34.0,5.0,1.0,37.0,37.0,35.0,2025-04-08,37.0,2.0,0.581081081081081,2.176470588235294,14.8,2.0,2.0,0.47297297297297297,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,3,1,1,2,2,3,4,26,57,49,14.035087719298245
Vercelli,149.29577464788733,228,15,213,318,2025-04-08,186,156,2025-02-28,8,18,2025-02-28,193.0,14.0,31.0,19.0,0.0,193.0,193.0,193.0,2025-04-08,179.0,1.776536312849162,0.49056603773584906,10.258064516129032,16.736842105263158,1.65,1.6476683937823835,0.6069182389937107,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,204,164,19.607843137254903
Verona,192.1383647798742,335,17,318,611,2025-04-08,317,318,2025-02-28,20,27,2025-02-28,308.0,15.0,104.0,281.0,2.0,308.0,1.0,1.0,2025-04-08,293.0,2.0853242320819114,0.5204582651391162,5.875,2.1743772241992882,1.98,611.0,0.0016366612111292963,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,3,1,1,2,2,3,4,26,344,338,1.744186046511628
Vibo Valentia,96.49122807017544,406,7,399,385,2025-04-08,224,197,2025-02-28,24,26,2025-02-28,154.0,2.0,121.0,8.0,0.0,154.0,154.0,154.0,2025-04-08,152.0,2.5328947368421053,0.5116883116883116,3.1818181818181817,48.125,2.5,2.5,0.4,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,8,250,221,11.600000000000001
Vicenza,140.4494382022472,276,9,267,375,2025-04-08,194,180,2025-02-28,16,20,2025-02-28,204.0,9.0,204.0,196.0,4.0,204.0,204.0,179.0,2025-04-08,195.0,1.9230769230769231,0.48,1.838235294117647,1.913265306122449,1.84,1.838235294117647,0.47733333333333333,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,10,214,196,8.411214953271028
Vigevano,162.38938053097345,242,16,226,367,2025-04-08,221,200,2025-02-28,17,22,2025-02-28,236.0,16.0,0.0,222.0,0.0,236.0,0.0,0.0,2025-04-08,220.0,1.6681818181818182,0.5449591280653951,inf,1.6531531531531531,1.56,inf,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,6,243,217,10.699588477366255
Viterbo,172.8395061728395,440,35,405,700,2025-04-08,330,262,2025-02-28,31,34,2025-02-28,440.0,35.0,7.0,404.0,2.0,440.0,440.0,159.0,2025-04-08,405.0,1.728395061728395,0.3742857142857143,100.0,1.7326732673267327,1.59,1.5909090909090908,0.22714285714285715,0,1,0,0,1,0,3,1,0,1,1,1,0,0,0,1,2,1,0,0,0,0,1,14,364,293,19.505494505494507
Reggio Emilia,131.75965665236052,292,59,233,307,2025-04-08,206,191,2025-02-28,22,22,2025-02-28,265.0,59.0,27.0,264.0,0.0,265.0,157.0,17.0,2025-04-08,206.0,1.4902912621359223,0.6221498371335505,11.37037037037037,1.1628787878787878,1.16,1.9554140127388535,0.05537459283387622,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,228,213,6.578947368421052
Avezzano,118.86792452830188,53,0,53,63,2025-04-08,39,33,2025-02-28,9,12,2025-02-28,33.0,0.0,33.0,1.0,0.0,33.0,33.0,33.0,2025-04-08,33.0,1.9090909090909092,0.5238095238095238,1.9090909090909092,63.0,1.91,1.9090909090909092,0.5238095238095238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,42,17.647058823529413
Pavia,142.44897959183675,515,25,490,698,2025-04-08,255,238,2025-02-28,19,26,2025-02-28,298.0,25.0,113.0,104.0,4.0,298.0,298.0,298.0,2025-04-08,273.0,2.5567765567765566,0.34097421203438394,6.176991150442478,6.711538461538462,2.34,2.3422818791946307,0.4269340974212034,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,3,3,0,3,16,281,257,8.540925266903916
Pisa,147.12041884816753,195,4,191,281,2025-04-08,184,185,2025-02-28,19,20,2025-02-28,153.0,4.0,28.0,114.0,2.0,85.0,123.0,149.0,2025-04-08,149.0,1.8859060402684564,0.6583629893238434,10.035714285714286,2.4649122807017543,3.31,2.2845528455284554,0.5302491103202847,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,8,204,204,0.0
